"ISO";"COUNTRY";"YEAR";"DECILE 1 (MEAN INCOME)";"DECILE 2 (MEAN INCOME)";"DECILE 3 (MEAN INCOME)";"DECILE 4 (MEAN INCOME)";"DECILE 5 (MEAN INCOME)";"DECILE 6 (MEAN INCOME)";"DECILE 7 (MEAN INCOME)";"DECILE 8 (MEAN INCOME)";"DECILE 9 (MEAN INCOME)";"DECILE 10 (MEAN INCOME)"
"SMR";"San Marino";"2020";"16301.5";"28337.8";"35769.6";"42338.45";"48835.22";"55847.19";"64099.01";"74732.75";"91194.23";"151015.34"
"SOM";"Somalia";"2020";"54.3";"180.67";"276.16";"379.14";"485.86";"627.21";"821.93";"1089.67";"1519.35";"3923.36"
"SRB";"Serbia";"2020";"5545.73";"9588.8";"11847.57";"13670.21";"15383.48";"17370.15";"19593.77";"22473.53";"27084.85";"39751.96"
"SSD";"South Sudan";"2020";"100.42";"509.93";"947.6";"1389.27";"1867.08";"2537.63";"3420.98";"4697.82";"6765.67";"17992.26"
"STP";"Sao Tome and Principe";"2020";"442.51";"901.26";"1254.45";"1603.59";"2074.52";"2557.63";"3215.3";"4177.46";"6073.35";"18215.98"
"SUR";"Suriname";"2020";"362.56";"1275.49";"3965.64";"5948.45";"8660.95";"10643.77";"13165.91";"18622.63";"29202.94";"66797.17"
"SVK";"Slovakia";"2020";"10806.91";"18336.37";"21933.58";"24923.14";"27790.69";"30414.16";"33403.72";"37003.38";"43013.04";"57472.7"
"SVN";"Slovenia";"2020";"14882.74";"21185.05";"25263.45";"28602.21";"31866.8";"35428.11";"39323.35";"44739.51";"51862.37";"77756.42"
"SWE";"Sweden";"2020";"15541.33";"26330.58";"33048.14";"37478.37";"41653.97";"46898.91";"53926.09";"62328.18";"74854.92";"117170.62"
"SWZ";"Eswatini";"2020";"225.75";"910.29";"1611.79";"2263.19";"3131.72";"4183.98";"5703.91";"8251.04";"13980.0";"43785.62"
"SXM";"Sint Maarten (Dutch part)";"2020";"4550.47";"10078.89";"13678.64";"17070.12";"21229.71";"25793.81";"31825.89";"41064.84";"58314.77";"137389.2"
"SYC";"Seychelles";"2020";"6305.03";"10896.35";"14021.24";"16854.81";"19810.5";"23205.89";"26821.12";"30851.62";"37007.29";"58503.27"
"SYR";"Syria";"2020";"1181.03";"1678.91";"2064.87";"2450.83";"2836.78";"3265.2";"3817.11";"4639.2";"5746.9";"10864.69"
"TCA";"Turks and Caicos Islands";"2020";"2663.12";"5898.57";"8005.28";"9990.12";"12424.48";"15095.57";"18625.79";"24032.79";"34128.13";"80405.65"
"TCD";"Chad";"2020";"226.56";"363.41";"501.78";"643.2";"784.61";"982.28";"1263.58";"1663.49";"2356.86";"6404.59"
